state,party,year,sd
KS,D,2016,0.27683486013315994
KS,R,1996,0.3437599322919742
KS,R,1997,0.2869200971727771
KS,R,1998,0.276090641599229
KS,R,1999,0.2629040496127864
KS,R,2e3,0.26853958596008615
KS,R,2001,0.27864344205931263
KS,R,2002,0.2855183178615154
KS,R,2003,0.3372745032867551
KS,R,2004,0.33657029469349087
KS,R,2005,0.3617063643010773
KS,R,2006,0.3674717610257107
KS,R,2007,0.3598648018548564
KS,R,2008,0.36562864177223664
KS,R,2009,0.35169839556279103
KS,R,2010,0.35169839556279103
KS,R,2011,0.36084246777562945
KS,R,2013,0.4279787977108379
KS,R,2014,0.4444940788793185
KS,R,2015,0.49479787266875885
KS,R,2016,0.4891113823469791
KY,D,1996,0.42036492083268157
KY,D,1998,0.3699343054984431
KY,D,2e3,0.3675792058810643
KY,D,2001,0.34356673669623866
KY,D,2002,0.34305958081749593
KY,D,2003,0.34831568075746816
KY,D,2004,0.34330732262562724
KY,D,2005,0.3626347748766997
KY,D,2006,0.36168860448808915
KY,D,2007,0.37537214394263113
KY,D,2008,0.3772455166056294
KY,R,1996,0.25339389737499746
KY,R,1998,0.2660376292332858
KY,R,2e3,0.2619938000421082
KY,R,2001,0.2650212179983044
KY,R,2002,0.2650212179983044
KY,R,2003,0.2471051659217388
KY,R,2004,0.24474697656903247
KY,R,2005,0.2500348768584609
KY,R,2006,0.24751579924292016
KY,R,2007,0.2345225776043915
KY,R,2008,0.22101758895816387
LA,D,1996,0.3834739349316063
LA,D,1997,0.3836189141477073
LA,D,1998,0.37753062257709236
LA,D,1999,0.38255755028397914
LA,D,2e3,0.36841024039136766
LA,D,2001,0.3715987355246667
LA,D,2002,0.37381354603242284
LA,D,2003,0.37286279997558586
LA,D,2004,0.3795104174273859
LA,D,2005,0.37270104163198475
LA,D,2006,0.3779445239890968
LA,D,2007,0.3767090413897732
LA,D,2008,0.33525051992668276
LA,D,2009,0.33977396427823425
LA,D,2010,0.3275505407333254
LA,D,2011,0.3096535698701589
LA,D,2012,0.30903750548756986
LA,D,2013,0.30903750548756986
LA,D,2014,0.28768510632580785
LA,D,2015,0.3296034532034462
LA,D,2016,0.3286345143447094
LA,R,1996,0.20751641544239982
LA,R,1997,0.20608877216040183
LA,R,1998,0.20057935176552896
LA,R,1999,0.20057935176552896
LA,R,2e3,0.1756661573854643
LA,R,2001,0.1823641808153247
LA,R,2002,0.1878085844522007
LA,R,2003,0.18821346018647392
LA,R,2004,0.19353764860763248
LA,R,2005,0.19224276522350792
LA,R,2006,0.19037024077157796
LA,R,2007,0.19081203280569697
LA,R,2008,0.16140257186328114
LA,R,2009,0.17485243807862907
LA,R,2010,0.17121992750454207
LA,R,2011,0.18625950278029002
LA,R,2012,0.169982808461367
LA,R,2013,0.1728391088028414
LA,R,2014,0.1721879927607159
LA,R,2015,0.186966652208656
LA,R,2016,0.19956548491250078
MA,D,1995,0.13995614624429722
MA,D,1996,0.13995614624429722
MA,D,1997,0.13254056691834762
MA,D,1998,0.13254056691834762
MA,D,1999,0.12202889104059876
MA,D,2e3,0.12202889104059876
MA,D,2001,0.11586275758314765
MA,D,2002,0.11545261193781285
MA,D,2003,0.10773234176362102
MA,D,2004,0.10773614990170526
MA,D,2005,0.1125597967798024
MA,D,2006,0.11299174066475226
MA,D,2007,0.11323334934076917
MA,D,2008,0.11323334934076917
MA,R,1995,0.27035743774518983
MA,R,1996,0.27035743774518983
MA,R,1997,0.22509574864735515
MA,R,1998,0.22509574864735515
MA,R,1999,0.14112597673901608
MA,R,2e3,0.14112597673901608
MA,R,2001,0.13910498068787439
MA,R,2002,0.1301454481045636
MA,R,2003,0.084322878426243
MA,R,2004,0.084322878426243
MA,R,2005,0.08212986232616176
MA,R,2006,0.08212986232616176
MA,R,2007,0.07629199064290634
MA,R,2008,0.07629199064290634
MD,D,1996,0.4771305836334365
MD,D,1997,0.4771305836334365
MD,D,1998,0.4710633880440674
MD,D,1999,0.45923951013926917
MD,D,2e3,0.46074050060188837
MD,D,2001,0.46074050060188837
MD,D,2002,0.4577731371578331
MD,D,2003,0.444058598405198
MD,D,2004,0.443765694583819
MD,D,2005,0.43371774665430346
MD,D,2006,0.4293876429855243
MD,D,2007,0.41743244278180053
MD,D,2008,0.4136541209707894
MD,D,2009,0.4104380431067223
MD,D,2010,0.4104380431067223
MD,D,2011,0.40597884195313977
MD,D,2012,0.40597884195313977
MD,D,2013,0.41297727153455277
MD,D,2014,0.41276150162898495
MD,D,2015,0.47198795289849027
MD,D,2016,0.4729736875953133
MD,R,1996,0.4613305875135636
MD,R,1997,0.4613305875135636
MD,R,1998,0.4613305875135636
MD,R,1999,0.4209657933922294
MD,R,2e3,0.3969425270085068
MD,R,2001,0.3969425270085068
MD,R,2002,0.40047998427266035
MD,R,2003,0.3698290867179918
MD,R,2004,0.3741622284523693
MD,R,2005,0.3529573001203478
MD,R,2006,0.3431639009299195
MD,R,2007,0.3186596813098458
MD,R,2008,0.30799582145102944
MD,R,2009,0.3028063782397965
MD,R,2010,0.29321261848638036
MD,R,2011,0.28924380348004997
MD,R,2012,0.28924380348004997
MD,R,2013,0.28924380348004997
MD,R,2014,0.2895189025018389
MD,R,2015,0.27887604730140253
MD,R,2016,0.28219335967541465
ME,D,1996,0.44425567832680285
ME,D,1997,0.3215373708672097
